date,rets,rv,bv
2014-12-19,1.4846939734994297e-5,2.9682123589447952e-5,3.41470630429821e-5
2014-12-22,4.24403686829217e-6,8.584565101728264e-6,1.1310882047647502e-5
2014-12-23,5.320515145017215e-6,1.0828159055881847e-5,6.010244659773405e-6
2014-12-24,2.5325682244110643e-6,4.043344915054368e-6,3.344267325719908e-6
2014-12-26,1.5818848820605786e-6,8.140034028117006e-6,4.768278383179504e-6
2014-12-29,2.10746545552288e-6,5.730923404145714e-6,5.093844668054782e-6
2014-12-30,6.166088077864032e-6,7.159443332064137e-6,8.105162500168953e-6
2014-12-31,1.895677382813267e-5,2.9213711244721355e-5,1.9468142505495618e-5
2015-01-02,3.530735208928252e-5,9.337030792944454e-5,6.849415915266708e-5
2015-01-05,5.217263569182794e-5,7.557303022737387e-5,6.655362756019715e-5
2015-01-06,6.451953616917912e-5,0.00013161363346633583,0.00011604213480822888
2015-01-07,2.2811491787908047e-5,8.500931026843242e-5,5.544872191837535e-5
2015-01-08,6.360833639807618e-6,8.159514822276657e-5,2.6281900220527166e-5
2015-01-09,4.335442642306531e-5,5.724403027203043e-5,4.939983739807529e-5
2015-01-12,4.397961985894648e-5,7.726083791258349e-5,6.072051207592828e-5
2015-01-13,8.000285255059098e-5,0.00022195992459679708,0.00011818235594681601
2015-01-14,8.567284953775833e-5,0.00016241091742197952,9.920562043269331e-5
2015-01-15,5.780588071886929e-5,8.73783845207104e-5,9.790051861349908e-5
2015-01-16,1.7997964571168175e-5,6.911740402892953e-5,6.305996843182537e-5
2015-01-20,4.054228941691198e-5,6.996488424702754e-5,7.435745928597661e-5
2015-01-21,3.45503607404892e-5,6.65010332263546e-5,9.21846838063256e-5
2015-01-22,2.11267109942553e-5,7.102752009453348e-5,6.326105150661573e-5
2015-01-23,1.4844711360657154e-5,2.707424129510414e-5,2.5218008699289903e-5
2015-01-26,1.3753044869191921e-5,3.4320642167773875e-5,2.0218606948325392e-5
2015-01-27,8.199192146422622e-5,8.914050295500687e-5,5.122877474722099e-5
2015-01-28,5.8242533949831746e-5,8.69105479652315e-5,8.679263397460225e-5
2015-01-29,3.705811522399466e-5,7.279286493326465e-5,0.00010958517886695512
2015-01-30,5.750956905163891e-5,9.178456718990901e-5,8.902565648331722e-5
2015-02-02,4.67025950624027e-5,0.0001246005414660957,0.00011560898610795795
2015-02-03,1.720168085829735e-5,8.588165914275038e-5,4.3872761480843146e-5
2015-02-04,4.538686242254298e-5,5.234729235493411e-5,5.8630933663912107e-5
2015-02-05,7.447013810939388e-6,3.627919307354824e-5,2.0839905427251435e-5
2015-02-06,2.64497939781571e-5,3.8936933148340596e-5,4.27260479082598e-5
2015-02-09,1.8465310094827525e-5,3.6031906186656076e-5,3.556017399851607e-5
2015-02-10,1.2503355939147902e-5,3.971437894458272e-5,2.5246257894230356e-5
2015-02-11,1.4218204327312094e-5,2.7662084516139645e-5,2.1724437949415195e-5
2015-02-12,4.6620070207518985e-6,2.417393035297018e-5,1.4026702317125637e-5
2015-02-13,4.213240047069492e-6,1.2074753684526586e-5,9.85661873458793e-6
2015-02-17,8.498324141347897e-6,1.9088607488851796e-5,9.961642347044861e-6
2015-02-18,1.017425292772166e-5,1.5657231273305627e-5,1.608554614683958e-5
2015-02-19,1.5894883667357072e-5,1.7911075848295836e-5,9.572125951543038e-6
2015-02-20,8.611804483367766e-6,2.5695664651608948e-5,1.790349340472232e-5
2015-02-23,7.67545117127483e-6,1.2207248781085192e-5,7.057771878900303e-6
2015-02-24,4.080836594131834e-6,9.349634300713358e-6,8.400807242066397e-6
2015-02-25,6.585697573707672e-6,1.1904773628282133e-5,7.92320560070769e-6
2015-02-26,1.2304727377067098e-5,1.6324368421766214e-5,1.8493271177840614e-5
2015-02-27,8.046433487894283e-6,1.2331917318012904e-5,1.0623176228649274e-5
2015-03-02,2.0547506390533233e-6,7.78593871946436e-6,5.758324747440074e-6
2015-03-03,1.7286553853617916e-5,2.3682192659614985e-5,2.197019037139619e-5
2015-03-04,3.5957628680770415e-5,5.851079494163234e-5,2.875226189165834e-5
2015-03-05,5.610327372347133e-6,1.2069089690790645e-5,1.0736503572912829e-5
2015-03-06,4.2704622575354906e-5,5.578844205834278e-5,3.197685692326815e-5
2015-03-09,5.731062775316087e-6,1.348813595698928e-5,1.395633964425533e-5
